Accident_Index,Vehicle_Type
201506J003178,9
201506J003178,9
201506J003197,9
201506J003197,1
201506J003217,9
201506J003221,9
201506J003221,9
201506J003221,20
201506J003237,9
201506J003237,9
201506J003383,5
201506J003633,9
201506J003633,1
201506J003645,9
201506J003694,9
201506J003707,9
201506J003707,19
201506J003768,4
201506J003768,9
201506J003801,9
201506J003801,9
201506J003813,9
201506J003870,11
201506J003914,9
201506J003914,1
201506J004106,9
201506J004106,9
201506J004198,9
201506J004198,4
201506J004285,9
201506J004285,9
201506J004305,9
201506J004305,11
201506J004309,9
201506J004309,9
201506J004361,9
201506J004361,1
201506J004526,9
201506J004526,9
201506J004570,9
201506J004570,9
201506J004570,9
201506J004618,3
201506J004618,9
201506J004648,2
201506J004709,9
201506J004724,11
201506J004847,9
201506J004847,1
201506J004864,9
201506J004958,1
201506J004958,9
201506J004960,9
201506J005164,9
201506J005164,9
201506J005207,9
201506J005355,9
201506J005498,9
201506J005513,9
201506J005513,4
201506J005514,9
201506J005514,9
201506J005516,9
201506J005523,9
201506J005523,9
201506J005609,9
201506J005777,5
201506J005777,9
201506J005779,9
201506J005836,3
201506J005836,9
201506J005852,9
201506J005918,19
201506J005918,1
201506J005954,9
201506J006046,9
201506J006046,9
201506J006062,9
201506J006062,1
201506J006092,3
201506J006092,8
201506J006133,9
201506J006133,1
201506J006204,9
201506J006204,9
201506J006258,9
201506J006258,9
201506J006403,3
201506J006403,19
201506J006444,1
201506J006444,11
201506J006559,9
201506J006559,9
201506J006604,9
201506J006604,3
201506J006635,9
201506J006635,9
201506J006635,9
201506J006680,9
201506J006682,9
201506J006682,1
201506J006816,9
201506J006816,9
201506J006821,21
201506J006821,90
201506J006877,9
201506J006877,1
201506J007001,8
201506J007068,9
201506J007068,5
201506J007099,9
201506J007122,19
201506J007122,9
201506J007147,9
201506J007147,9
201506J007184,11
201506J007418,9
201506J007445,9
201506J007445,1
201506J007478,9
201506J007478,1
201506J007534,9
201506J007534,1
201506J007598,9
201506J007638,9
201506J007638,1
201506J007646,9
201506J007646,1
201506J007780,9
201506J007780,21
201506J007829,9
201506J007852,90
201506J007852,1
201506J007937,9
201506J007937,9
201506J008206,9
201506J008206,19
201506J008206,9
201506J008254,9
201506J008254,9
201506J008268,9
201506J008268,9
201506J008283,9
201506J008349,9
201506J008349,1
201506J008351,19
201506J008351,5
201506J008359,9
201506J008359,1
201506J008366,9
201506J008366,9
201506J008537,19
201506J008537,1
201506J008643,9
201506J008643,19
201506J008644,9
201506J008644,4
201506J008692,9
201506J008692,3
201506J008948,9
201506J008948,9
201506J009002,9
201506J009051,9
201506J009051,9
201506J009051,9
201506J009152,9
201506J009194,9
201506J009392,9
201506J009417,9
201506J009417,9
201506J009434,9
201506J009434,1
201506J009576,9
201506J009576,4
201506J009860,9
201506J009860,9
201506J009933,9
201506J009933,1
201506J010046,1
201506J010046,9
201506J010157,9
201506J010157,1
201506J011006,9
201506J011029,9
201506J011029,8
201506J011029,9
201506J096016,9
201506J096156,9
201506J096156,9
201506J096156,9
201506J096176,3
201506J096176,9
201506J096213,5
201506J096215,9
201506J096248,9
201506J096248,9
201506J096256,9
201506J096312,9
201506J096312,1
201506J096334,9
201506J096462,9
201506J096568,9
201506J096568,1
201506J096603,9
201506J096603,9
201506J096671,9
201506J096678,9
201506J096678,9
201506J096780,9
201506J096780,9
201506J096810,11
201506J096998,9
201506J096998,1
201506J097103,9
201506J097149,9
201506J097149,1
201506J097170,11
201506J097170,9
201506J097192,9
201506J097192,9
201506J097192,9
201506J097313,9
201506J097313,9
201506J097384,9
201506J097384,9
201506J097446,9
201506J097464,9
201506J097464,9
201506J097481,9
201506J097562,11
201506J097642,8
201506J097693,9
201506J097773,9
201506J097838,9
201506J097859,9
201506J097859,5
201506J098090,9
201506J098161,9
201506J098183,9
201506J098187,9
201506J098187,9
201506J098187,9
201506J098251,9
201506J098330,1
201506J098330,9
201506J098569,9
201506J098569,9
201506J098569,9
201506J098685,2
201506J098685,9
201506J098726,9
201506J098726,9
201506J098726,3
201506J098726,9
201506J098728,9
201506J098728,1
201506J098735,9
201506J098950,9
201506J098950,9
201506J098950,9
201506J099006,9
201506J099006,9
201506J099093,9
201506J099093,1
201506J099098,9
201506J099175,9
201506J099239,9
201506J099239,9
201506J099382,9
201506J099382,9
201506J099400,9
201506J099400,9
201506J099400,9
201506J099422,9
201506J099422,9
201506J099517,9
201506J099517,2
201506J099521,9
201506J099523,9
201506J099523,5
201506J099639,9
201506J099743,9
201506J099743,8
201506J099998,9
201506J099998,9
201506J099998,1
201506JE02948,9
201506JE02948,1
201506K000062,9
201506K000155,9
201506K000155,5
201506K000219,9
201506K000219,19
201506K000246,9
201506K000248,9
201506K000248,4
201506K000387,9
201506K000387,9
201506K000403,9
201506K000403,9
201506K000500,9
201506K000500,9
201506K000545,9
201506K000548,9
201506K000548,9
201506K000648,9
201506K000648,9
201506K000648,9
201506K000648,9
201506K000696,9
201506K000696,1
201506K000696,9
201506K000710,9
201506K000710,19
201506K000718,9
201506K000718,9
201506K000737,9
201506K000741,9
201506K000741,9
201506K000768,3
201506K000768,9
201506K000768,9
201506K000768,9
201506K000819,9
201506K000819,9
201506K000821,9
201506K000988,9
201506K000988,3
201506K000995,2
201506K000995,9
201506K001097,9
201506K001097,3
201506K001242,11
201506K001244,9
201506K001411,9
201506K001411,19
201506K001473,9
201506K001514,9
201506K001514,9
201506K001613,9
201506K001613,1
201506K001698,9
201506K001698,1
201506K001731,9
201506K001731,1
201506K001827,9
201506K001961,9
201506K001961,1
201506K002100,9
201506K002202,19
201506K002202,9
201506K002204,9
201506K002204,9
201506K002234,9
201506K002234,9
201506K002234,9
201506K002279,19
201506K002279,9
201506K002279,9
201506K002358,9
201506K002385,9
201506K002411,9
201506K002411,1
201506K002425,9
201506K002425,8
201506K002471,9
201506K002471,1
201506K002490,5
201506K002507,9
201506K002507,9
201506K002507,9
201506K002507,9
201506K002507,19
201506K002507,9
201506K002543,9
201506K002543,9
201506K002550,9
201506K002607,19
201506K002607,2
201506K002609,19
201506K002609,3
201506K002632,9
201506K002632,9
201506K002706,9
201506K002706,9
201506K002706,19
201506K002717,9
201506K002737,9
201506K002743,9
201506K002743,9
201506K002752,20
201506K002783,9
201506K002783,1
201506K002822,4
201506K002836,19
201506K002836,9
201506K002921,9
201506K002935,9
201506K002935,1
201506K002972,9
201506K002972,5
201506K002976,9
201506K003105,9
201506K003105,9
201506K003109,9
201506K003109,9
201506K003148,9
201506K003164,9
201506K003164,1
201506K003176,9
201506K003176,9
201506K003186,9
201506K003210,19
201506K003263,9
201506K003263,5
201506K003300,9
201506K003300,9
201506K003337,8
201506K003349,9
201506K003369,9
201506K003386,20
201506K003406,9
201506K003406,9
201506K003477,9
201506K003477,9
201506K003477,9
201506K003501,9
201506K003506,1
201506K003506,9
201506K003506,9
201506K003510,9
201506K003510,9
201506K003516,9
201506K003528,9
201506K003622,9
201506K003622,9
201506K003716,9
201506K003727,1
201506K003727,9
201506K003729,9
201506K003736,9
201506K003787,9
201506K003825,9
201506K003855,9
201506K003855,1
201506K003864,1
201506K003864,9
201506K003878,1
201506K003878,9
201506K003888,9
201506K003888,9
201506K003911,9
201506K003921,19
201506K003921,9
201506K003964,9
201506K003964,1
201506K003968,19
201506K004115,9
201506K004115,5
201506K004148,9
201506K004148,1
201506K004154,9
201506K004154,9
201506K004156,9
201506K004156,9
201506K004196,9
201506K004196,9
201506K004284,9
201506K004332,9
201506K004337,9
201506K004337,9
201506K004405,9
201506K004530,9
201506K004530,5
201506K004556,3
201506K004556,9
201506K004576,9
201506K004576,9
201506K004577,9
201506K004577,9
201506K004577,9
201506K004631,9
201506K004631,9
201506K004631,9
201506K004631,9
201506K004631,9
201506K004631,9
201506K004713,9
201506K004713,9
201506K004713,9
